"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 29 10:31:57 GMT 2023","Mon May 29 10:31:57 GMT 2023","306","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","searchDistrict","Проверить результаты поиска ЖК по району на странице /novostroyki",""
"broken","Mon May 29 10:32:01 GMT 2023","Mon May 29 10:32:02 GMT 2023","206","","ru.prudnikova.web.tests.header.FollowingHeaderLinksTests","","ru.prudnikova.web.tests.header.FollowingHeaderLinksTests","followingHelpInChoosingLink","Открытие модального окна по ссылке 'Помощь в подборе'",""
"broken","Mon May 29 10:31:58 GMT 2023","Mon May 29 10:31:58 GMT 2023","219","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setFilterRoomsAndVerifyResultSearch","setFilterRoomsAndVerifyResultSearch(RoomEnum) Проверить выдачу ЖК после примения фильтра Комнатность 1 на странице /novostroyki",""
"broken","Mon May 29 10:32:11 GMT 2023","Mon May 29 10:32:11 GMT 2023","207","","ru.prudnikova.web.tests.auth.AuthTests","","ru.prudnikova.web.tests.auth.AuthTests","authUserSuccessful","Позитивная проверка авторизации пользователя",""
"passed","Mon May 29 10:32:18 GMT 2023","Mon May 29 10:32:19 GMT 2023","723","","ru.prudnikova.api.tests.profile.ProfileTests","","ru.prudnikova.api.tests.profile.ProfileTests","changeUsername","Изменение имени пользователя",""
"passed","Mon May 29 10:32:19 GMT 2023","Mon May 29 10:32:20 GMT 2023","1706","","ru.prudnikova.api.tests.filter_building.SearchBuildingFiltersTests","","ru.prudnikova.api.tests.filter_building.SearchBuildingFiltersTests","searchRoad","Применить фильтр 'Шоссе' и проверить, что найденные ЖК содержат искомый road_id",""
"broken","Mon May 29 10:31:57 GMT 2023","Mon May 29 10:31:58 GMT 2023","217","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setPriceToFilter","setPriceToFilter(String, String) Ввести значение 8000000 в фильтр Цена до и проверить появление тега До 8 млн. ₽",""
"broken","Mon May 29 10:32:09 GMT 2023","Mon May 29 10:32:11 GMT 2023","1752","","ru.prudnikova.web.tests.me.MeTests","","ru.prudnikova.web.tests.me.MeTests","changeUserEmail","Изменение email пользователя в профиле",""
"passed","Mon May 29 10:32:26 GMT 2023","Mon May 29 10:32:28 GMT 2023","1564","","ru.prudnikova.api.tests.auth.AuthTests","","ru.prudnikova.api.tests.auth.AuthTests","auth","Авторизация пользователя",""
"broken","Mon May 29 10:32:02 GMT 2023","Mon May 29 10:32:02 GMT 2023","210","","ru.prudnikova.web.tests.header.FollowingHeaderLinksTests","","ru.prudnikova.web.tests.header.FollowingHeaderLinksTests","followingContactsLink","Переход по ссылке 'Контакты'",""
"broken","Mon May 29 10:31:59 GMT 2023","Mon May 29 10:31:59 GMT 2023","190","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","scrollNovostroykiItemsToLastPage","Проскроллить новостройки до последней страницы и проверить отображение футера",""
"passed","Mon May 29 10:32:13 GMT 2023","Mon May 29 10:32:14 GMT 2023","968","","ru.prudnikova.api.tests.profile.ProfileTests","","ru.prudnikova.api.tests.profile.ProfileTests","changeEmail","Изменение Email пользователя",""
"broken","Mon May 29 10:32:21 GMT 2023","Mon May 29 10:32:24 GMT 2023","2723","","ru.prudnikova.api.tests.favorites.UserFavoritesTests","","ru.prudnikova.api.tests.favorites.UserFavoritesTests","getUserFavoritesBuilding","Получение списка избранных ЖК пользователя",""
"broken","Mon May 29 10:31:58 GMT 2023","Mon May 29 10:31:59 GMT 2023","263","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setFilterRoomsAndVerifyResultSearch","setFilterRoomsAndVerifyResultSearch(RoomEnum) Проверить выдачу ЖК после примения фильтра Комнатность 2 на странице /novostroyki",""
"broken","Mon May 29 10:31:57 GMT 2023","Mon May 29 10:31:57 GMT 2023","213","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setPriceToFilter","setPriceToFilter(String, String) Ввести значение 1000000 в фильтр Цена до и проверить появление тега До 1 млн. ₽",""
"broken","Mon May 29 10:32:01 GMT 2023","Mon May 29 10:32:01 GMT 2023","194","","ru.prudnikova.web.tests.header.FollowingHeaderLinksTests","","ru.prudnikova.web.tests.header.FollowingHeaderLinksTests","followingAboutLink","Переход по ссылке 'O компании'",""
"broken","Mon May 29 10:32:00 GMT 2023","Mon May 29 10:32:00 GMT 2023","211","","ru.prudnikova.web.tests.novostroyki.MoreFilterModalTests","","ru.prudnikova.web.tests.novostroyki.MoreFilterModalTests","checkOpenMoreFiltersModal","Проверить открытие модального окна по клику на кнопку Все фильтры странице /novostroyki",""
"broken","Mon May 29 10:31:59 GMT 2023","Mon May 29 10:32:00 GMT 2023","226","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setPriceFromFilter","setPriceFromFilter(String, String) Ввести значение 15000000 в фильтр Цена от и проверить появление тега От 15 млн. ₽",""
"broken","Mon May 29 10:31:58 GMT 2023","Mon May 29 10:31:58 GMT 2023","205","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","setFilterRoomsAndVerifyResultSearch","setFilterRoomsAndVerifyResultSearch(RoomEnum) Проверить выдачу ЖК после примения фильтра Комнатность Студ на странице /novostroyki",""
"broken","Mon May 29 10:31:53 GMT 2023","Mon May 29 10:31:56 GMT 2023","3416","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","","ru.prudnikova.web.tests.novostroyki.SearchNovostroykiFiltersTests","searchСounty","Проверить результаты поиска ЖК по округу на странице /novostroyki",""
